Name,Price,Image URL
Rivela Spf 30 Plus Tube Of 60gm Sunscreen Gel,₹1080,https://cdn01.pharmeasy.in/dam/products_otc/I27116/rivela-spf-30-plus-tube-of-60gm-sunscreen-gel-1-1669710345.jpg?dim=700x0&dpr=1&q=100
Chemist At Play Gentle & Hydrating Face Cleanser | Hydrates Dull & Dry Skin | Brightens Skin | 100ml,₹299,https://cdn01.pharmeasy.in/dam/products_otc/W53233/chemist-at-play-gentle-hydrating-face-cleanser-hydrates-dull-dry-skin-brightens-skin-100ml-2-1710159779.jpg?dim=700x0&dpr=1&q=100
Ethiglo Soap 75gm,₹110,https://cdn01.pharmeasy.in/dam/products_otc/263342/ethiglo-soap-75gm-1-1671740893.jpg?dim=700x0&dpr=1&q=100
Sebamed Olive Face & Body Wash | Ph 5.5 | Soap Free | For Sensitive Dry Skin|Olive Oil And Panthenol,₹800,https://cdn01.pharmeasy.in/dam/products_otc/222824/sebamed-olive-face-body-wash-ph-55-soap-free-for-sensitive-dry-skinolive-oil-and-panthenol-2-1688551299.jpg?dim=700x0&dpr=1&q=100
Wishcare Spf50 Sunscreen Body Lotion - Broad Spectrum - Uva & Uvb Protection | No White Cast (200ml),₹499,https://cdn01.pharmeasy.in/dam/products_otc/R34778/wishcare-spf50-sunscreen-body-lotion-broad-spectrum-uva-uvb-protection-with-no-white-cast-2-1707904884.jpg?dim=700x0&dpr=1&q=100
Ethiglo Skin Whitening Face Wash 70gm,₹260,https://cdn01.pharmeasy.in/dam/products_otc/B68043/ethiglo-skin-whitening-face-wash-70-gm-6.1-1732169263.jpg?dim=700x0&dpr=1&q=100
Hydranet Cream 80gm,₹599,https://cdn01.pharmeasy.in/dam/products/I03610/hydranet-cream-80gm-2-1641535482.jpg?dim=700x0&dpr=1&q=100
Glenmark Elovera Moisturizing Body Wash Bottle Of 250ml,₹625,https://cdn01.pharmeasy.in/dam/products_otc/Y90916/glenmark-elovera-moisturizing-body-wash-bottle-of-250ml-6.1-1711008365.jpg?dim=700x0&dpr=1&q=100
Kozicare Kojic Acid Vitamin E Arbutin Skin Lightening Soap - 75g ( Pack Of 3 ),₹300,https://cdn01.pharmeasy.in/dam/products_otc/W42092/kozicare-kojic-acid-vitamin-e-arbutin-skin-lightening-soap-75g-pack-of-3--3-1720426485.jpg?dim=700x0&dpr=1&q=100
Cetaphil Gentle Skin Cleanser - 125ml,₹429,https://cdn01.pharmeasy.in/dam/products_otc/I00623/cetaphil-gentle-skin-cleanser-125ml-2-1671740876.jpg?dim=700x0&dpr=1&q=100
Ahaglow S Bottle Of 100ml Foaming Face Wash,₹798,https://cdn01.pharmeasy.in/dam/products_otc/I48252/ahaglow-s-foaming-face-wash-salicylic-acid-glycolic-acid-bottle-100-ml-2-1726648891.jpg?dim=700x0&dpr=1&q=100
Newish Pure & Natural Clove Oil For Teeth Pain Skin & Hair 30ml,₹399,https://cdn01.pharmeasy.in/dam/products_otc/X68614/newish-pure-natural-clove-oil-for-teeth-pain-skin-hair-30ml-2-1671744542.jpg?dim=700x0&dpr=1&q=100
Boroline Dry Skin Care Combo - Antiseptic Cream (2x100gm),N/A,https://cdn01.pharmeasy.in/dam/products_otc/A34130/boroline-dry-skin-care-combo-antiseptic-cream-2x100gm-free-bo-body-lotion-trial-pack-2x20ml-2-1668403743.jpg?dim=700x0&dpr=1&q=100
Acnestar Soap Pack Of 2,₹210,https://cdn01.pharmeasy.in/dam/products_otc/K37958/acnestar-soap-pack-of-2-2-1686550345.jpg?dim=700x0&dpr=1&q=100
Wishcare Ceramide Lip Balm With Spf50 Pa+++ - Kojic Acid & Niacinamide - For Lip Lightening (5g),₹299,https://cdn01.pharmeasy.in/dam/products_otc/H91648/wishcare-ceramide-lip-balm-with-spf50-pa-kojic-acid-niacinamide-for-lip-lightening-2-1707905645.jpg?dim=700x0&dpr=1&q=100
Inlife Aloe Vera Gel For Face & Hair|Pure & Natural | Paraben & Silicone Free | No Added Colors 100g,₹299,https://cdn01.pharmeasy.in/dam/products_otc/O79765/inlife-aloe-vera-gel-for-face-hairpure-natural-paraben-silicone-free-no-added-colors-100g-2-1709085406.jpg?dim=700x0&dpr=1&q=100
La Shield Ir Sunscreen Spf 30 Tube Of 60 G,₹981,https://cdn01.pharmeasy.in/dam/products_otc/329895/la-shield-ir-sunscreen-spf-30-tube-of-60-g-1-1671740980.jpg?dim=700x0&dpr=1&q=100
