name,price,image_URL
Ayouthveda Vagitone Vaginal Gel.,₹315,https://cdn01.pharmeasy.in/dam/products_otc/F68880/ayouthveda-vagitone-vaginal-gel-2-1695120072.jpg?dim=700x0&dpr=1&q=100
Peesafe Reusable Sanitary Pads | 6 Regular+2 Overnight Pad + 2 Leak Proof Pouch | Skin Friendly,₹998,https://cdn01.pharmeasy.in/dam/products_otc/E56203/peesafe-reusable-sanitary-pads-6-regular2-overnight-pad-2-leak-proof-pouch-skin-friendly-2-1690436614.jpg?dim=700x0&dpr=1&q=100
Nua Ultra Thin Sanitary Pads Disposal Pouches50 Pcs X Pack Of 2 Sanitary Pad (Pack Of 100),₹1798,https://cdn01.pharmeasy.in/dam/products_otc/A67164/nua-ultra-thin-sanitary-pads-disposal-pouches50-pcs-x-pack-of-2-sanitary-pad-pack-of-100-2-1704788873.jpg?dim=700x0&dpr=1&q=100
Vigini Vaginal V Intimate Lightening Whitening Pigmentation Feminine Private Hygiene Gel Wash Women,₹325,https://cdn01.pharmeasy.in/dam/products_otc/D82314/vigini-vaginal-v-intimate-lightening-whitening-feminine-hygiene-gel-private-part-wash-women-100-ml-2-1721898262.jpg?dim=700x0&dpr=1&q=100
Sirona Fda Approved Premium Digital Tampon (Regular Flow) - 20 Tampon,₹295,https://cdn01.pharmeasy.in/dam/products_otc/I48473/sirona-fda-approved-premium-digital-tampon-regular-flow-20-tampon-2-1652368557.jpg?dim=700x0&dpr=1&q=100
Sheneed Feminine Vaginal Douche-Fresh Scent- With Ph-3.5 - 133 Ml (Pack Of 2),₹510,https://cdn01.pharmeasy.in/dam/products_otc/T54904/sheneed-feminine-vaginal-douche-fresh-scent-with-ph-35-133-ml-pack-of-2-2-1671744203.jpg?dim=700x0&dpr=1&q=100
Sirona Reusable Period Panties For Women (2xl Size) | 360 Degree Coverage | Leak-Proof Protection,₹749,https://cdn01.pharmeasy.in/dam/products_otc/Z55652/sirona-reusable-period-panties-for-women-2xl-size-360-degree-coverage-leak-proof-protection-2-1677247205.jpg?dim=700x0&dpr=1&q=100
"Sheneed Feminine Intimate Wipes 100% Biodegradable, Wipes For Women - 10 Wipe, Pack Of 2",₹400,https://cdn01.pharmeasy.in/dam/products_otc/X61949/sheneed-feminine-intimate-wipes-with-chamomile-flower-extract-vitamin-e-oil-10wipes-pack-of-2-2-1684480987.jpg?dim=700x0&dpr=1&q=100
Pigeon Manual Breast Pump - Basic Edition,₹998,https://cdn01.pharmeasy.in/dam/products_otc/M38917/pigeon-manual-breast-pump-basic-edition-2-1643880959.jpg?dim=700x0&dpr=1&q=100
"Wonderize Soft Comfort Cotton Sanitary Napkins For Women 35 Sanitary Pads (Combo Of 5) - 275mm, Xl",₹200,https://cdn01.pharmeasy.in/dam/products_otc/O42569/wonderize-soft-comfort-cotton-sanitary-napkins-for-women-35-sanitary-pads-combo-of-5-275mm-xl-2-1681298286.jpg?dim=700x0&dpr=1&q=100
Goli Soda Her Cup Reusable Menstrual Cup For Women - Teal,₹650,https://cdn01.pharmeasy.in/dam/products_otc/W12620/goli-soda-her-cup-reusable-menstrual-cup-for-women-teal-2-1695103704.jpg?dim=700x0&dpr=1&q=100
Pee Safe - Toilet Seat Lavender Sanitizer Spray - 50 Ml,N/A,https://cdn01.pharmeasy.in/dam/products_otc/I39889/pee-safe-toilet-seat-lavender-sanitizer-spray-50-ml-2-1669710606.jpg?dim=700x0&dpr=1&q=100
Everteen Witch Hazel Natural Intimate Wash For Intimate Hygiene In Moms 3 Packs (105ml Each),₹630,https://cdn01.pharmeasy.in/dam/products_otc/J71552/everteen-witch-hazel-natural-intimate-wash-for-intimate-hygiene-in-moms-3-packs-105ml-each-2-1684904546.jpg?dim=700x0&dpr=1&q=100
Peesafe Toilet Seat Sanitizer Spray (50ml - 3 Packs) - Lavender|Kills 99.9% Germs & Travel Friendly,₹349,https://cdn01.pharmeasy.in/dam/products_otc/O43842/peesafe-toilet-seat-sanitizer-spray-50ml-3-packs-lavenderkills-999-germs-travel-friendly-2-1690436552.jpg?dim=700x0&dpr=1&q=100
Bbold Menstrual Cups For Women - White - Small,₹499,https://cdn01.pharmeasy.in/dam/products_otc/W14775/bbold-menstrual-cups-for-women-white-small-2-1694149240.jpg?dim=700x0&dpr=1&q=100
