Name,Price,Image URL
Sensodyne Fresh Mint Toothpaste Tube Of 40 G,₹95,https://cdn01.pharmeasy.in/dam/products_otc/222329/sensodyne-fresh-mint-toothpaste-tube-of-40-g-2-1671741808.jpg?dim=700x0&dpr=1&q=100
Cetaphil Moisturising Cream (Dry To Normal | Sensitive Skin) - 80gm,₹629,https://cdn01.pharmeasy.in/dam/products_otc/038117/cetaphil-moisturising-cream-dry-to-normal-sensitive-skin-80gm-2-1710575630.jpg?dim=700x0&dpr=1&q=100
Durex Real Feel Condoms Pack Of 10,₹599,https://cdn01.pharmeasy.in/dam/products_otc/L07650/durex-real-feel-condoms-pack-of-10-6.01-1718099178.jpg?dim=700x0&dpr=1&q=100
Liveasy Foods Healthy Roasted Seed Mix - Blend Of 6 Fibre Rich Healthy Roasted Seeds - 200 Gms,₹399,https://cdn01.pharmeasy.in/dam/products_otc/D52223/liveasy-foods-healthy-roasted-seed-mix-blend-of-6-fibre-rich-healthy-roasted-seeds-200-gms-6.01-1727327224.jpg?dim=700x0&dpr=1&q=100
New Fash X Gel Face Wash 200ml,₹580,https://cdn01.pharmeasy.in/dam/products_otc/R78914/new-fash-x-gel-face-wash-200ml-2-1727068187.jpg?dim=700x0&dpr=1&q=100
Saslic 1% Foaming Face Wash 60ml,₹440,https://cdn01.pharmeasy.in/dam/products_otc/193315/saslic-1-foaming-face-wash-60ml-1-1697789416.jpg?dim=700x0&dpr=1&q=100
Nivea Body Milk Lotion 400ml,₹495,https://cdn01.pharmeasy.in/dam/products_otc/124293/nivea-body-milk-lotion-400ml-2-1679372115.jpg?dim=700x0&dpr=1&q=100
Pearldew Deep Cleansing Face Wash 100 Ml | Neem & Aloe Vera | Paraben Free (Pack Of 2),₹498,https://cdn01.pharmeasy.in/dam/products_otc/E53101/pearldew-deep-cleansing-face-wash-100-ml-pack-of-2-2-1677216882.jpg?dim=700x0&dpr=1&q=100
Moisturex Syndet Bar 75gm,₹195,https://cdn01.pharmeasy.in/dam/products_otc/264307/moisturex-syndet-bar-75gm-1-1671741112.jpg?dim=700x0&dpr=1&q=100
Maxisoft Moisturizing Lotion Ph 5.5 | 100 Ml | Pack Of 2,₹590,https://cdn01.pharmeasy.in/dam/products_otc/W12716/maxisoft-moisturizing-lotion-100-ml-with-almond-cocoa-butter-pack-of-2-2-1697011508.jpg?dim=700x0&dpr=1&q=100
Moiz Lmf 48 - Face & Body Lotion 75ml,₹375,https://cdn01.pharmeasy.in/dam/products_otc/C45064/moiz-lmf-48-face-body-lotion-75ml-1-1720167839.jpg?dim=700x0&dpr=1&q=100
Refresh Liquigel Eye Drops,₹185.69,https://cdn01.pharmeasy.in/dam/products_otc/203808/refresh-liquigel-eye-drops-1-1671740702.jpg?dim=700x0&dpr=1&q=100
Acne Uv Spf 50 Gel 50gm,₹915,https://cdn01.pharmeasy.in/dam/products_otc/I44880/acne-uv-spf-50-gel-50gm-1-1726144503.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Calcium Magnesium Vitamin D3 & Zinc - Bones & Dental Health - Bottle 120,₹899,https://cdn01.pharmeasy.in/dam/products_otc/Q97636/pharmeasy-calcium-magnesium-vitamin-d3-zinc-bones-dental-health-bottle-120-6.1-1731326159.jpg?dim=700x0&dpr=1&q=100
Moiz Cleansing Lotion - Face & Body 400ml,₹770,https://cdn01.pharmeasy.in/dam/products_otc/Q60400/moiz-cleansing-lotion-face-body-400ml-2-1731301288.jpg?dim=700x0&dpr=1&q=100
Kamasutra Longlast Box Of 12 Condoms,N/A,https://cdn01.pharmeasy.in/dam/products_otc/I38560/kamasutra-longlast-box-of-12-condoms-1-1669710742.jpg?dim=700x0&dpr=1&q=100
Cetaphil Gentle Skin Cleanser - 500ml,₹1159,https://cdn01.pharmeasy.in/dam/products_otc/I46395/cetaphil-gentle-skin-cleanser-500ml-6.1-1669711351.jpg?dim=700x0&dpr=1&q=100
Skore Not Out Dotted Box Of 10 Condoms,₹120,https://cdn01.pharmeasy.in/dam/products_otc/I08118/skore-not-out-dotted-box-of-10-condoms-1-1669655064.jpg?dim=700x0&dpr=1&q=100
